component,singular_value,covariance_eigenvalue,variance_share,cumulative_variance_share
1,0.889023728049,0.00105101487903,0.617150968309,0.617150968309
2,0.442684183276,0.00026059745495,0.153021593576,0.770172561885
3,0.328660497178,0.000143640588305,0.0843450743933,0.854517636278
4,0.210113582768,5.87070713612e-05,0.0344725147663,0.888990151044
5,0.19262646702,4.93416965381e-05,0.0289732109449,0.917963361989
6,0.180641174616,4.33925983599e-05,0.0254799286189,0.943443290608
7,0.163536953594,3.55642755197e-05,0.0208831744555,0.964326465064
8,0.136930785557,2.49335638742e-05,0.0146408708338,0.978967335898
9,0.126796165328,2.13793451355e-05,0.012553850393,0.99152118629
10,0.104204192321,1.44395128953e-05,0.00847881370952,1
