strategy,observations,cagr,annualized_volatility,annualized_mean_over_volatility_rf0,max_drawdown,terminal_wealth,gross_annualized_volatility,annual_traded_notional,annual_cost_fraction_sum,period,first_date,last_date,daily_return_correlation_with_reference
Equal weight,1527,0.0736677492687,0.0940246466492,0.803037611845,-0.220071824415,1.53835632887,0.0940267656968,0.428620453304,0.000214310226652,all_oos,2020-08-03,2026-08-31,0.959376967233
Inverse volatility,1527,0.0377695559691,0.0551428785317,0.699908950372,-0.15565142465,1.251883585,0.055144481833,0.409946997775,0.000204973498887,all_oos,2020-08-03,2026-08-31,0.921871006773
Sample GMV,1527,0.0165298444628,0.0388213541239,0.441718581855,-0.12363779242,1.10444633807,0.0388216171727,0.413289211794,0.000206644605897,all_oos,2020-08-03,2026-08-31,0.731242670946
Ledoit-Wolf GMV,1527,0.0167140947221,0.0388387545087,0.446204716916,-0.124432447288,1.10565992315,0.0388391125255,0.417262460057,0.000208631230029,all_oos,2020-08-03,2026-08-31,0.732953133564
PCA GMV,1527,0.0156603031632,0.0389084997185,0.418820944243,-0.129673602554,1.09873400568,0.0389097472747,0.451828915417,0.000225914457708,all_oos,2020-08-03,2026-08-31,0.736103483433
AOM buy & hold,1527,0.0587734935716,0.0797796468335,0.755788212319,-0.199571688009,1.41349648798,,,,all_oos,2020-08-03,2026-08-31,1
Equal weight,1111,0.0462301253454,0.0936192832995,0.529546911189,-0.220071824415,1.22048127655,0.0936224390967,0.491400123268,0.000245700061634,development,2020-08-03,2024-12-31,0.96361418251
Inverse volatility,1111,0.0199672536777,0.0560148942509,0.380937099547,-0.15565142465,1.09107440016,0.0560175531827,0.462501076154,0.000231250538077,development,2020-08-03,2024-12-31,0.915510996283
Sample GMV,1111,0.00588971624526,0.0410705889218,0.163496764243,-0.12363779242,1.0262280591,0.0410718421776,0.454796300557,0.000227398150279,development,2020-08-03,2024-12-31,0.717149033492
Ledoit-Wolf GMV,1111,0.00569820151774,0.0410613113629,0.158887066094,-0.124432447288,1.02536692997,0.0410626105475,0.458342761367,0.000229171380684,development,2020-08-03,2024-12-31,0.718060515694
PCA GMV,1111,0.00491797861813,0.0413503199003,0.13929550542,-0.129673602554,1.02186449907,0.0413522613819,0.484377033938,0.000242188516969,development,2020-08-03,2024-12-31,0.723839631808
AOM buy & hold,1111,0.0382622291436,0.0799239641749,0.509760065295,-0.199571688009,1.18003097065,,,,development,2020-08-03,2024-12-31,1
Equal weight,416,0.150523382562,0.0950745343517,1.52253822826,-0.0780455778463,1.26045057669,0.095074263167,0.260956478954,0.000130478239477,historical_test,2025-01-02,2026-08-31,0.948223486589
Inverse volatility,416,0.0868515414113,0.0526990447256,1.60690540718,-0.0409166901172,1.14738608551,0.0526979902095,0.269592235566,0.000134796117783,historical_test,2025-01-02,2026-08-31,0.9409245037
Sample GMV,416,0.0455010744536,0.0320289310654,1.40534797589,-0.024670381408,1.07621919735,0.0320260687729,0.302437347332,0.000151218673666,historical_test,2025-01-02,2026-08-31,0.795715092473
Ledoit-Wolf GMV,416,0.0467289950467,0.0321333275799,1.43742119748,-0.0246492491763,1.07830659526,0.0321307477854,0.307550405356,0.000153775202678,historical_test,2025-01-02,2026-08-31,0.799541916713
PCA GMV,416,0.0449157594061,0.0314485229598,1.41289055108,-0.0224329230197,1.07522475502,0.0314475833989,0.364903531577,0.000182451765788,historical_test,2025-01-02,2026-08-31,0.799215111746
AOM buy & hold,416,0.115560458553,0.0793950348402,1.4172185623,-0.0654254516627,1.19784694058,,,,historical_test,2025-01-02,2026-08-31,1
