period,comparator,estimate,lower_95,upper_95,observations,block_length,samples
all_oos,Equal weight,-0.0551161469307,-0.061337950381,-0.0499463987921,1527,5,2000
all_oos,Equal weight,-0.0551161469307,-0.0629534872926,-0.0480679696415,1527,21,2000
all_oos,Equal weight,-0.0551161469307,-0.0639666521782,-0.0461467585761,1527,63,2000
all_oos,Inverse volatility,-0.0162343788132,-0.0188938820001,-0.0139101812898,1527,5,2000
all_oos,Inverse volatility,-0.0162343788132,-0.0196579064264,-0.0133273104989,1527,21,2000
all_oos,Inverse volatility,-0.0162343788132,-0.020123669355,-0.0126407450317,1527,63,2000
all_oos,Sample GMV,8.71455945514e-05,-0.00017453664975,0.00033150779811,1527,5,2000
all_oos,Sample GMV,8.71455945514e-05,-0.000212826738001,0.000379235756153,1527,21,2000
all_oos,Sample GMV,8.71455945514e-05,-0.000300310594769,0.000484116891292,1527,63,2000
all_oos,Ledoit-Wolf GMV,6.97452098109e-05,-0.000185162673945,0.000308977052935,1527,5,2000
all_oos,Ledoit-Wolf GMV,6.97452098109e-05,-0.000219261551133,0.00035472517738,1527,21,2000
all_oos,Ledoit-Wolf GMV,6.97452098109e-05,-0.000310440781994,0.000466141791723,1527,63,2000
development,Equal weight,-0.0522689633993,-0.0575267051035,-0.0471658224767,1111,5,2000
development,Equal weight,-0.0522689633993,-0.0588178622831,-0.0453724763323,1111,21,2000
development,Equal weight,-0.0522689633993,-0.0613036116499,-0.0428479914745,1111,63,2000
development,Inverse volatility,-0.0146645743506,-0.0169277701554,-0.0124404310941,1111,5,2000
development,Inverse volatility,-0.0146645743506,-0.0173939899742,-0.0120676541148,1111,21,2000
development,Inverse volatility,-0.0146645743506,-0.0183332775282,-0.0110156656157,1111,63,2000
development,Sample GMV,0.000279730978515,-2.38253813335e-05,0.000564738868695,1111,5,2000
development,Sample GMV,0.000279730978515,-7.93198542659e-05,0.000636121343126,1111,21,2000
development,Sample GMV,0.000279730978515,-0.000163881486987,0.000691506767894,1111,63,2000
development,Ledoit-Wolf GMV,0.000289008537347,2.76978347507e-06,0.000560901859729,1111,5,2000
development,Ledoit-Wolf GMV,0.000289008537347,-4.71254066627e-05,0.000622892925379,1111,21,2000
development,Ledoit-Wolf GMV,0.000289008537347,-0.000144040466684,0.000684782858505,1111,63,2000
historical_test,Equal weight,-0.0636260113919,-0.0811007633655,-0.0493374405176,416,5,2000
historical_test,Equal weight,-0.0636260113919,-0.0840152446471,-0.0465679205,416,21,2000
historical_test,Equal weight,-0.0636260113919,-0.0816018701096,-0.0441774768043,416,63,2000
historical_test,Inverse volatility,-0.0212505217657,-0.0292962912442,-0.0151043215578,416,5,2000
historical_test,Inverse volatility,-0.0212505217657,-0.0301140317118,-0.0143048600526,416,21,2000
historical_test,Inverse volatility,-0.0212505217657,-0.0290352562584,-0.0134417823747,416,63,2000
historical_test,Sample GMV,-0.000580408105621,-0.0010924007719,-7.31413609751e-05,416,5,2000
historical_test,Sample GMV,-0.000580408105621,-0.00106260652613,-8.99746267276e-05,416,21,2000
historical_test,Sample GMV,-0.000580408105621,-0.00113237984472,-0.000106102832736,416,63,2000
historical_test,Ledoit-Wolf GMV,-0.000684804620047,-0.00122139581925,-0.000144564120605,416,5,2000
historical_test,Ledoit-Wolf GMV,-0.000684804620047,-0.00112971691189,-0.000195262535608,416,21,2000
historical_test,Ledoit-Wolf GMV,-0.000684804620047,-0.00120414609455,-0.000198534555296,416,63,2000
