strategy,observations,cagr,annualized_volatility,annualized_mean_over_volatility_rf0,max_drawdown,terminal_wealth,year,first_date,last_date,compounded_period_return
Equal weight,106,0.373433634851,0.16628110599,1.99201453713,-0.0819370199122,1.1427907648,2020,2020-08-03,2020-12-31,0.142790764796
Inverse volatility,106,0.364871077884,0.158996650312,2.03654976486,-0.0795922493391,1.13978846504,2020,2020-08-03,2020-12-31,0.139788465042
Sample GMV,106,0.271347598186,0.141002475524,1.77349631367,-0.073969768246,1.10625999733,2020,2020-08-03,2020-12-31,0.106259997326
Ledoit-Wolf GMV,106,0.273200669142,0.140039941798,1.79513452056,-0.0726612657497,1.10693796191,2020,2020-08-03,2020-12-31,0.106937961906
PCA GMV,106,0.26598928222,0.141580228442,1.73697285651,-0.0746106184355,1.10429637646,2020,2020-08-03,2020-12-31,0.104296376463
SPY buy & hold,106,0.382577467255,0.169837904396,1.99312585075,-0.0944042873637,1.14598492845,2020,2020-08-03,2020-12-31,0.145984928448
Equal weight,252,0.299442884916,0.121071079158,2.22497749492,-0.0472933402982,1.29944288492,2021,2021-01-04,2021-12-31,0.299442884916
Inverse volatility,252,0.282710302724,0.116275566045,2.20029860531,-0.0503299810023,1.28271030272,2021,2021-01-04,2021-12-31,0.282710302724
Sample GMV,252,0.203034039804,0.105028867418,1.81302607026,-0.0600225725176,1.2030340398,2021,2021-01-04,2021-12-31,0.203034039804
Ledoit-Wolf GMV,252,0.206507322825,0.104604394408,1.8475402716,-0.0595151411586,1.20650732282,2021,2021-01-04,2021-12-31,0.206507322825
PCA GMV,252,0.196190626858,0.104998879927,1.75913738293,-0.0660032952149,1.19619062686,2021,2021-01-04,2021-12-31,0.196190626858
SPY buy & hold,252,0.287287493808,0.129887308804,2.00999527802,-0.0511414480235,1.28728749381,2021,2021-01-04,2021-12-31,0.287287493808
Equal weight,251,-0.107215254751,0.214067862033,-0.423010557487,-0.192631314576,0.893186623435,2022,2022-01-03,2022-12-30,-0.106813376565
Inverse volatility,251,-0.115736035938,0.207964407026,-0.487690559947,-0.201004664611,0.884695673244,2022,2022-01-03,2022-12-30,-0.115304326756
Sample GMV,251,-0.0750620575402,0.182122525996,-0.337577896238,-0.177531253933,0.925224382213,2022,2022-01-03,2022-12-30,-0.0747756177867
Ledoit-Wolf GMV,251,-0.0730605448918,0.181805043805,-0.326599351919,-0.175927808368,0.927218561175,2022,2022-01-03,2022-12-30,-0.0727814388252
PCA GMV,251,-0.0735699459009,0.180032194783,-0.334655783916,-0.170051537625,0.92671102827,2022,2022-01-03,2022-12-30,-0.0732889717297
SPY buy & hold,251,-0.182407351008,0.242429634719,-0.70958801828,-0.244963938609,0.81824630635,2022,2022-01-03,2022-12-30,-0.18175369365
Equal weight,250,0.171903141776,0.126705658072,1.31540233306,-0.103743303858,1.17042869015,2023,2023-01-03,2023-12-29,0.170428690147
Inverse volatility,250,0.145518720731,0.12243551898,1.17086751504,-0.106246417918,1.1442842484,2023,2023-01-03,2023-12-29,0.144284248401
Sample GMV,250,0.00811916505468,0.109759372927,0.128328625706,-0.103449861609,1.00805446843,2023,2023-01-03,2023-12-29,0.00805446842731
Ledoit-Wolf GMV,250,0.00907823555652,0.109586550471,0.137036187072,-0.103322571017,1.00900586261,2023,2023-01-03,2023-12-29,0.00900586260753
