strategy,observations,cagr,annualized_volatility,annualized_mean_over_volatility_rf0,max_drawdown,terminal_wealth,gross_annualized_volatility,annual_traded_notional,annual_cost_fraction_sum,period,first_date,last_date,daily_return_correlation_with_reference
Equal weight,1527,0.148159321545,0.1455620744,1.02216137256,-0.192631314576,2.3098538042,0.145563508959,0.501073533027,0.000250536766513,all_oos,2020-08-03,2026-08-31,0.934265824655
Inverse volatility,1527,0.134395996118,0.140823844985,0.96606731495,-0.201004664611,2.14707844809,0.140825157867,0.497169913249,0.000248584956624,all_oos,2020-08-03,2026-08-31,0.923228739182
Sample GMV,1527,0.0855685207931,0.125842336563,0.715500033563,-0.1781674756,1.64462126755,0.125843404219,0.867768714974,0.000433884357487,all_oos,2020-08-03,2026-08-31,0.789964726881
Ledoit-Wolf GMV,1527,0.0876501029518,0.125478288759,0.73248265209,-0.176340530755,1.66382332466,0.125479243019,0.850733097562,0.000425366548781,all_oos,2020-08-03,2026-08-31,0.792365866901
PCA GMV,1527,0.0866302032169,0.124936850286,0.727601939845,-0.172734422335,1.654391758,0.124937127674,0.801087759492,0.000400543879746,all_oos,2020-08-03,2026-08-31,0.791207289684
SPY buy & hold,1527,0.165693162362,0.16740899134,0.999620169066,-0.244963938609,2.53202997273,,,,all_oos,2020-08-03,2026-08-31,1
Equal weight,1111,0.143685864553,0.14954044244,0.972810173702,-0.192631314576,1.80741857985,0.149543073559,0.558629830918,0.000279314915459,development,2020-08-03,2024-12-31,0.952025455339
Inverse volatility,1111,0.129469530727,0.144522385302,0.914895289513,-0.201004664611,1.71044647856,0.144524971135,0.550856121229,0.000275428060615,development,2020-08-03,2024-12-31,0.950428732044
Sample GMV,1111,0.0779600745991,0.127873920748,0.65111904617,-0.1781674756,1.39231146701,0.127878630661,0.891435675393,0.000445717837697,development,2020-08-03,2024-12-31,0.850482867991
Ledoit-Wolf GMV,1111,0.0795638707647,0.127548909899,0.664111500355,-0.176340530755,1.4014672945,0.127553240948,0.846379790553,0.000423189895276,development,2020-08-03,2024-12-31,0.851606182958
PCA GMV,1111,0.0781700472823,0.127078324193,0.65592597838,-0.172734422335,1.39350753046,0.127081773331,0.802429860064,0.000401214930032,development,2020-08-03,2024-12-31,0.845387068936
SPY buy & hold,1111,0.157006193339,0.165284083068,0.965274912526,-0.244963938609,1.90208507936,,,,development,2020-08-03,2024-12-31,1
Equal weight,416,0.160192415846,0.13453170074,1.17174698058,-0.150040682341,1.27798498364,0.134529613362,0.347359477841,0.000173679738921,historical_test,2025-01-02,2026-08-31,0.891888024177
Inverse volatility,416,0.147658555947,0.130597816563,1.11987987281,-0.141488004615,1.25527368147,0.130595399122,0.353791602993,0.000176895801497,historical_test,2025-01-02,2026-08-31,0.853837117076
Sample GMV,416,0.106152453202,0.120391024365,0.898279791791,-0.113793542276,1.18121649251,0.120381773805,0.804562000969,0.000402281000485,historical_test,2025-01-02,2026-08-31,0.629122101754
Ledoit-Wolf GMV,416,0.109543905174,0.119914048478,0.926914941953,-0.113731417443,1.18720096515,0.119905393788,0.862359357386,0.000431179678693,historical_test,2025-01-02,2026-08-31,0.634859375384
PCA GMV,416,0.109551328943,0.119168427806,0.932031531762,-0.115535568937,1.18721407803,0.119159661598,0.797503447627,0.000398751723814,historical_test,2025-01-02,2026-08-31,0.647227744005
SPY buy & hold,416,0.189214251123,0.173152496415,1.08678108891,-0.187552262606,1.33118649644,,,,historical_test,2025-01-02,2026-08-31,1
