period,comparator,estimate,lower_95,upper_95,observations,block_length,samples
all_oos,Equal weight,-0.0206252241136,-0.0251956295947,-0.0162902491964,1527,5,2000
all_oos,Equal weight,-0.0206252241136,-0.0260768799143,-0.0151987361156,1527,21,2000
all_oos,Equal weight,-0.0206252241136,-0.0269949586842,-0.0140742011953,1527,63,2000
all_oos,Inverse volatility,-0.015886994699,-0.0194624279172,-0.0123499867685,1527,5,2000
all_oos,Inverse volatility,-0.015886994699,-0.0202799957737,-0.0115041158812,1527,21,2000
all_oos,Inverse volatility,-0.015886994699,-0.0210171459222,-0.010645949619,1527,63,2000
all_oos,Sample GMV,-0.000905486277494,-0.00147182673028,-0.000368542303304,1527,5,2000
all_oos,Sample GMV,-0.000905486277494,-0.00162984215389,-0.000236672986487,1527,21,2000
all_oos,Sample GMV,-0.000905486277494,-0.00176590481505,-0.000159160995755,1527,63,2000
all_oos,Ledoit-Wolf GMV,-0.000541438472502,-0.00111049315018,4.21344986704e-06,1527,5,2000
all_oos,Ledoit-Wolf GMV,-0.000541438472502,-0.0012259262592,7.13186223e-05,1527,21,2000
all_oos,Ledoit-Wolf GMV,-0.000541438472502,-0.00130623553797,0.000108835852106,1527,63,2000
development,Equal weight,-0.0224621182477,-0.0273978927583,-0.01784759421,1111,5,2000
development,Equal weight,-0.0224621182477,-0.0279616699479,-0.0171136356998,1111,21,2000
development,Equal weight,-0.0224621182477,-0.029353616342,-0.0154856707526,1111,63,2000
development,Inverse volatility,-0.0174440611096,-0.0216168947405,-0.0136971563766,1111,5,2000
development,Inverse volatility,-0.0174440611096,-0.0219021089043,-0.0130660419933,1111,21,2000
development,Inverse volatility,-0.0174440611096,-0.0233339654289,-0.0117043874407,1111,63,2000
development,Sample GMV,-0.000795596555125,-0.00144596038007,-0.000202277360806,1111,5,2000
development,Sample GMV,-0.000795596555125,-0.00158753145164,-9.44563164581e-05,1111,21,2000
development,Sample GMV,-0.000795596555125,-0.00170687324718,-2.05470221073e-05,1111,63,2000
development,Ledoit-Wolf GMV,-0.000470585706013,-0.00115879382698,0.000163322066396,1111,5,2000
development,Ledoit-Wolf GMV,-0.000470585706013,-0.00130521689823,0.000247180380641,1111,21,2000
development,Ledoit-Wolf GMV,-0.000470585706013,-0.00130966555526,0.000320425715616,1111,63,2000
historical_test,Equal weight,-0.0153632729343,-0.0263855749063,-0.00351751929117,416,5,2000
historical_test,Equal weight,-0.0153632729343,-0.0292437310433,-0.000192419343282,416,21,2000
historical_test,Equal weight,-0.0153632729343,-0.029588671233,0.00228468502123,416,63,2000
historical_test,Inverse volatility,-0.0114293887569,-0.0196909256038,-0.00234017382112,416,5,2000
historical_test,Inverse volatility,-0.0114293887569,-0.0218213577101,0.000227973809871,416,21,2000
historical_test,Inverse volatility,-0.0114293887569,-0.0218985960487,0.00190860619541,416,63,2000
historical_test,Sample GMV,-0.00122259655874,-0.00262212205524,-8.53167943333e-05,416,5,2000
historical_test,Sample GMV,-0.00122259655874,-0.00300896656175,0.000297181102582,416,21,2000
historical_test,Sample GMV,-0.00122259655874,-0.00365361005586,0.000433180692695,416,63,2000
historical_test,Ledoit-Wolf GMV,-0.000745620672146,-0.00197453168021,0.00030209298131,416,5,2000
historical_test,Ledoit-Wolf GMV,-0.000745620672146,-0.00223554850201,0.000530534006422,416,21,2000
historical_test,Ledoit-Wolf GMV,-0.000745620672146,-0.00255833974633,0.000551773704369,416,63,2000
